review,sentiment
"preciosa de aguas cristalinas y mar tranquilo! me encanto, lo unico malo es que como es chica se llena muy rapido de gente, no recomendable ir en febreto",4
"Estaba muy llena la playa, los que van llegando no respetan tu espacio, y ahora con la pandemia, es muy desagradable. Ya no es como antes.",2
"Es un hermoso lugar, de lejos parece una playa caribeña. Lo malo es que está muy sucia la arena. El municipio no se encarga de mantener la playa. Esta llena de algas que la gente amontona y expelen un fuerte olor desagradable, para que decir lo que deja la gente (mascarillas, latas, vasos, colilla de cigarro, etc). Se llena mucho, creo que en enero y febrero debe ser intransitable. Otra cosa negativa es que fuman mucha marihuana, no hay control de la marina en esta playa. ",2
"Crecí visitando Algarrobo desde que nací, pero han deteriorado tanto esta playa, desde que construyeron los edificios no es lo mismo, y cada año crece el exceso de gente.",2
"Una hermosa playa con vistas inigualables,un buen lugar para visitar , para compartir en familia... con muchas ofertas , bueno para caminar y desextresarse...",5
"si uno quiere ir hay que estacionar el auto bien lejos y bajar por un bosque y escaleras, llegar no es tan complicado, sino volver al auto facilmente 40 minutos para bajar y una hora para subir",3
Es una playa donde se puede bañar y disfrutar mucho en familia. Es linda y bastante tranquila. Hay que asistir temprano pues se suele llenar muy rápido,4
"Lugar con gran potencial para el turismos. Hermosa! Hay que pasar un bosque para bajar al mar. Hay estacionamiento, baños, vendedores, banana etc lo malo es que va demasiada gente al punto de que no se puede ni caminar y no se aprecia el mar por tantos tapasoles. El agua es helada.  Volveré pero no en estas fechas. ",4
"La playa es muy linda, paisaje espectacular, aguas cristalinas, caminería que te lleva a una santuario de aves muy lindo, ahora viene lo no tan bueno, fuimos en febrero y al principio como hasta las 14:00 estaba ok, pero después de esta hora se llenó al límite que no cabía ni un tapasol más, afortunadamente como llegamos temprano escogimos un lugar por donde no nos pasaba la gente por encima pero era casi imposible caminar sin pisar una toalla. En conclusión si quieres relajarte y tener un día de paz en definitiva este no es el lugar...al menos no en esta época",2
"Segundo año consecutivo que voy, a la playa y es imposible encontrar un lugar para poner nuestras cosas. Realmente impresionante la cantidad de gente. Ya no es lo que solía ser antes, una playa agradable y de descanso. Al final de cuentas NOS FUIMOS",5
"Cavancha es la playa ubicada en pleno centro de la ciudad de Iquique. Se encuentra a metros del espacio urbano de Iquique.

Al sur de esta cierra la gran bahía la península de Cavancha. En el lugar convergen 25 restaurantes una torre de 35 pisos de altura, más otras en construcción, pub, restaurantes temáticos y resto-bares.",4
"Excelente lugar para la familia. Playa Cavancha y Brava para realizar deporte. Mall Zofri para comprar perfumes-tragos y chocolates.Baquedano, un buen lugar para comer.",5
"Lleno de quitasoles que arriendan, no dejan espacio para poner el quitasol que uno trae, y si uno se pone cerca del quitasol que se arrienda, el dueño te trata pésimo..",1
Es una playa amplia con muchas actividades para todos los gustos.  Salvavidas y segura Un poco cochina. Hartas deportes para hacer,4
Excelente playa donde puedes caminar libre en el mejor lugar. Adoro mis playas nortinas no las cambio por nada muy recomendado,5
"Muy buena playa,  bien cuidada, limpia y el paseo peatonal, excelente para pasear tanto de dia como de noche. dos paseos peatonales y una ciclovia.   muy hermosa.",5
"Bajamos a la playa. bastante mas limpia que hace 4 años atras. El gran problema que tiene es el comercio ambulante permanete, vendiendo de todo, licor, cigarrilllos, comida, choclo, etc.",2
"Puedes realizar largas caminatas, disfrutando de juegos, fotos, pequeños museos con animales y amfibios. Puedes disfrutar de comida al paso de todos los presios. Y si quieres nadar, mucha playa para ti.",5
"Sitio muy bonito para correr en la mañana y luego disfrutar con la familia, el agua un poco fría pero normal por estos lados. Hay servicios de toldos y sillas en toda la playa, hay zona de actividades deportivas y duchas para sacarse la arena antes de partir. El atardecer muy agradable.",4
"Playa totalmente llena, muchos niños jugando en la orilla, armando sus torres, fortalezas. El mar agradable (ni tibio ni frío). Arriendan quitasoles y sillas. Y venden helados, agua, bebidas, palmeras, etc.....Y más!!!...mojitos, hamburguesas, papas fritas, frutas...es increíble. En el borde sur arriendan kayacs. En la mañana es para ir tranquilo a tomar sol con poca gente (pero venden lo mismo!!!)",5
"Con vista a los botecitos de pescadores y la península. cerca del casino. Hay bastantes servicios de comida, reposeras y baños públicos. En la semana es más tranquila que  los fines de semana.",4
"Es un lugar hermoso, que provoca volver cada día. Fuimos a ver el amanecer y fue totalmente increíble y maravilloso. Un lugar tranquilo y hermoso. Ver los surfistas es entretenido y todas las vistas son magnificas. ",5
Lugar precioso con vistas al Pacífico de postal. El camino para llegar es complicado pero la fauna Silvestre que se deja ver constantemente hacen que valga la pena. Le falta infraestructura turística que es muy básica.,3
"Cafes, foodtrucks, alojamientos, restaurantes, artesanía, fotografía, trekking. Para ir en pareja, familia, amigos.",5
"Un lugar maravilloso, donde puedes reconectar con la naturaleza y renovar tu  energía. Es el lugar indicado para pensar y disfrutar de la magnificencia del oceano",5
"Fuimos de paseo primero para conocer los acantilados y después fuimos a la playa. Nos encantó lo grande que es, ideal para caminar.",5
"En un lugar magico ,muy bien cuidado y la panoramica es espectacular , para sacar las mejores fotos imperdible",5
"Lindo paisaje, hay la posiblidad de hacer hermosas fotos en la playa y en el sendero, el atardecer es maravilloso.",5
"hermoso lugar, magico ver a cada surfista , bellísimo espectáculo, la puesta de sol omperdible, debes ir  sin falta y solo respirar el encanto.",5
"Pararse en los miradores de Punta de Lobos a observar los cactus que van como bajando hacia un encuentro con la llegada de las olas, observar y escuchar las relajadas  gaviotas y ver a los surfistas apoderados del placer de estar abrazados a sus multicolores  tablas de surf esperando las mejores olas, y todo esto con un divino sunset, fue para mi un conjunto de bonitas experiencias y momentos muy especiales.",5
"Linda vista, lugar hermoso para hscer fotos y pasar una tarde agradable. No apto para el baño. Buenos lugares para dormir y comer cercanos",5
"Primera vez en la zona. Viña me gustó, Reñaca me gustó mucho mas, linda costanera para caminar, playas mas extensas, un lindo centro con un polo gastrónomico, me pareció de mas nivel que Viña. Recomendable al menos para caminar en lindas tardes de invierno. Ya lo visitaremos en verano....",3
"Reñaca está ubicada al norte de la comuna de viña del mar, en la región de Valparaíso. Este lugar es uno de los más exclusivos, tanto en el ámbito turístico, como residencial. Se caracteriza por su extensa playa, por lo pintoresco, por lo agradable que es al momento de querer ir de paseo por la orilla del mar, la diversidad en locales, la amabilidad de su gente, y bueno, también por sus diversos precios, pero sinceramente vale la pena realizar un viaje aquí, ya que tienes un ambiente limpio, agradable, tranquilo, seguro. Cabe destacar el trabajo de los salvavidas, que es muy profesional y eficiente.El ambiente es fantástico para pasarlo en familia, es acogedor, seguro y tranquilo. Asi también, como seria para un grupo de amigos o una junta familiar de primos, se puede disfrutar de buenas olas para hacer surf, y luego relajarse tranquilamente a tomar un poco de luz solar.Lo único que quizás juega un poquito en contra, es lo frio del agua, pero fuera de ese detalle, este lugar es perfecto para venir a relajarse y disfrutar en familia o con amigos.",4
"Hace años que venimos a esta playa, claramente, entre marzo y diciembre es tranquila y buena para estar con los niños. Enero y febrero esta llena, mucha bulla y para encontrar un estacionamiento debes tener suerte. Hay variedades para comer, y se puede caminar durante la tarde-noche tranquilos.",5
"La playa está generalmente limpia y es espaciosa, el oleaje es muy fuerte.Punto positivo el trabajo de los salva vidas, están muy pendientes de la seguridad de los turistas todo el tiempo.Negativo es que en el sector 5 el ruido de las discotecas es fuerte.",3
"Es amplia, limpia y linda. Sin dudas la mejor de toda la zona. Solo tener cuidado con el mar, que además de frío es bastante revuelto a veces.",4
"Lindas playas , tienen cartel de prohibido bañarse, no se porque la gente se mete igualtoda la costa hasta viña lleno de paradores, muy lindos",1
"Linda playa para caminar, para tomar sol y divertirse. Existen distintos paradores para tomar café o comer. ",4
"Bonita playa,para descansar, tranquilo en familia,con muchos sectores, no es apta para bañarte muy adentro porque sus marejadas son fuertes y altas, y tiene corrientes .Solo debes seguir indicaciones de los encargados, cuenta con salvavidas, zonas de baño, para arrendar quitasoles,hamacas , esterillas.Cafeterìas y restorantes,policía siempre atenta y vigilancia naval",4
"Creo que es la única buena playa de Viña, aunque sea un lugar muy profundo y con olas muy fuertes (y peligrosas). Aguas muy frías, por supuesto...Un kilómetro de arena costera en donde hay de todo, paradores donde comprar comidas y bebidas,quioscos, baños a CLP 500, sombrillas y reposeras para alquilar, Un lindo lugar para pasar los días y por que no las noches.Una situación complicada es el estacionamiento. Sumamente difícil de encontrar las tardes de poca gente y una quimera encontrarlo los fines de semana en temporada. Si van a hospedarse en Reñaca que sea en lugares cercanos a la playa o sin pendiente, como para ir caminando. El auto es un verdadero problema.",3
"Playas muy tranquilas y limpias, con seguridad! Además de las playas, tienes locales comerciales que no te puede faltar nada!",5
"Malaaaaaa, Playa chica, llena de rocas Malos baños y pocos , fila para hacer del 1 Gastronomía , regulequeLugar, feo sin depósitos para basura , saturado el acceso a estacionamientos etc etc etc En resumen , perdí un día de mis pocos que tuve",1
"La playa en si es un espectáculo. Lo que es TERRIBLE es que la gente no respeta espacio personal, ni siquiera en pandemia. Llegamos temprano y nos alejamos de la entrada con la esperanza de tener a personas lejos. A eso de las 13:00 se llenó por completo la playa. Imposible escapar de tanta gente. Se nos montaban por los lados las personas y son muy agresivos, no respetan el espacio que teníamos desde temprano y pusieron sus sombrillas colindantes con la nuestra. Nos insultaron y trataron horrible. NO RECOMIENDO IR",1
"Es una hermosa playa, la facilidad para estacionarse a un costado de ella en la isla es a un costo razonable, con  arena blanca y postal muy paradisiaca, lugares donde comer y arriendo de quitasol si se te olvida, pero no volvere a ir nunca mas, esta playa solo posee una doble via de acceso, solo un camino, el día 15 de enero de este año sono la alerta de tsunami en la region de coquimbo, estabamos en el agua con los niños y salir se volvio un caos, nunca sentí ese pánico en mi vida. la sirena de la playa y los celulares de todos sonando al unisono con la frase ""evacuar palya, alerta de tsunami región de coquimbo""quedara grabado en mi memoria, salir por ese camino se volvio eterno y lleno de miedo.El día en que hagan otras vias de evacuación pensare en volver a ir, si la ola hubiese sido mas grande y cercana al momento de la alerta, estariamos todos muertos.",5
"El lugar es hermoso, pero la intervención humana lo ha hecho horrible. La playa llena de autos, música fuerte, gente haciendo asados y comiendo, matando erizos y estrellas. Horrible, no volvería nunca, nos sentimos muy incómodos y es muy triste no ver ni si quiera aves, contaminación total, no hay si quiera un basurero",1
"Es un lugar maravilloso y paradisiaco. El entorno maravilloso y el agua calidad, lo unico malo es la cantidad de gente que asiste para ser un espacio tan reducido... jaja no se trata de querer la playa para mi sola, pero como a las 4 subió la marea y quedamos todos amontonados... hubo que salir casi arrancando de donde estábamos y colocar las cosas demasiado cerca (por nondecir casi encima) de los demas.",4
"Es una de mis playas favoritas en Chile, nada que envidiarle al Caribe; arenas blancas, agua refrescante y olas perfectas para nadar, jugar o sufear. Totalmente recomendable.",5
"Playa de un azul muy lindo, no es taan helada, y cuenta con gran variedad de restaurantes y venta de ceviches. Todos muy ricos y a excelente precio (ceviche para 1 persona 2.000 pesos Empanadas de 1.500 a 2.500 Almuerzo reineta más 2 contornos 7.000)Baños limpios por 400 pesos Llegar temprano (11-12 del medio dia) o antes si el día amanece soleado. Se llena bastante, por favor recordar siempre medidas contra el COVID.",5
"Playa muy bonita, estaba muy lleno pero igual fue agradable. Por favor pongan basureros para que las personas se vean en la obligación de no botar basura al suelo, que lamentablemente irá a parar al mar. Los niños lo pasaron bien.",4
"Playa de arena blanca (no conchilla), playa muy plana, aguas heladas (como toda la costa chilena), rica para el baño. Hay estacionamiento por 3 mil el día, hay baños por 500 y pasan vendedores ofreciendo lo típico (bebidas, palmera, pan de nata o huevo, etc). Se llena mucho el sector más cercano al islote...pero si caminan hacia las rocas hay 2 playas mas pequeñas en las que también te puedes bañar tranquilamente y hay mucha menos gente.",4
"Playa muy bonita. Agua turquesa y para nada fría.Mucha gente. No recomiendo comprar en el local pricsy muy caro y todo lo extra como ensaladas, cuesta el 300 % mas y no vale la pena.Mejor opcion  es comer en la costanera en los locales chicos.Todo lo demas super",2
"Llegamos al camping el lunes 21 de febrero muy tarde (son varias horas de viaje ) pero el señor que nos atendió muy amable. El lugar es hermoso, el camping siempre muy ordenado y limpio, los sitios  cómodos y con todo lo necesario, (solo tiene luz el sector de la mesa del sitio, la cual es suficiente para el sitio. Para ir al baño o lavar la loza debes llevar linterna en caso que sea muy tarde. Pero se agradece y espero se mantenga el camping con el concepto de disfrutar la naturaleza, el cielo por las noches se ve realmente HERMOSO) Tengo  una observación importante que realizar y espero que haya sido que el baño que nos toco (20) no estaba funcionando el agua temperada (se que no hay Calefont) PERO DICEN QUE ES AGUA TEMPERATURA AMBIENTE, PERO NOS SALIÓ EL AGUA MUY FRÍA INCLUSO EL AGUA DONDE SE LAVAN LA LOZA SALÍA MUCHO   MÁS TEMPERADA (Se notaba mucho la diferencia) (Tengo la esperanza que haya sido un desperfecto, por que nos encantaría volver) Saludos y gracias por el servicio !!!",5
"Hermosa playa de arenas blancas, oleaje tranquilo y agua no tan fría .Vale la pena lo difícil del acceso , ojalá se mantenga así piolita disfrutamos un lindo día con los niños",5
"Sin duda alguna, Playa La Virgen es la mejor playa de Chile. Alojar en el camping es conectarse con la naturaleza, disfrutar del sol y del silencio del desierto y sentir el sonido relajante del mar en todo momento. La experiencia es única, por eso volvemos cada vez que podemos.100% recomendable",5
"Muy buena experiencia en Playa La Virgen, excelente  el camping, recomendable 1000%, volveré si o si!!!",5
"Lugar paradisíaco, muy bueno el camping, muy buena disposición de la recepcionista a todas nuestras consultas. El sitio y los baños impecables. Un lugar ideal para ir  a relajarse y disfrutar de la hermosa playa que recuerda al caribe.",5
"Soy campista regular de esta playa, visitándola casi ininterrumpidamente en carpa o combi varias veces por temporada hace unos 10 años.El acceso (por el desvío próximo a Puerto Viejo) está transitable para casi cualquier vehículo, de hecho lo podemos hacer en nuestra combi sin problemas.La playa en general es de oleaje tranquilo, sin grandes peligros para niños.Los sitios de camping son de buen tamaño, alejados entre si, en general con linda vista a la playa y acantilado del otro sector.Los baños de cada sitio son muy cómodos (aún cuando quedan alejados de algunos sitios). La ducha a temperatura ambiente en verano es bakan.!La fogata en la noche sin señal de celular, y en general con visitantes respetuosos del silencio es espectacular, tanto en las noches con luna como las sin luna.En resumen, uno de los mejores lugares de playa en chile, al menos para acampar.",4
"Amo el camping de playa la virgen.La desconexión es plena, yo fui con mi familia, además tener baño privado, poder compartir una fogata de noche, no tiene precio! Es volver a lo simple, es uña experiencia impagable Es uno mejores camping del norte! Espero que todos cuidemos este lugar, no sólo depende de los administradores, nosotros que visitamos ese lugar, debemos cuidarlo! Debemos partir por nosotros 🥰 Una maravilla del norte",5
"Espectacular estadía, cabaña de lujo, limpia, con mucho espacio y vista inmejorable. Un placer pasar unos días allí. 100% recomendado.",5
"Un lugar mágico, limpio, bien cuidado (no permiten ni música alta en la playa, una maravilla) y muy bien organizado (camping, cabañas, restaurant, etc.) en el  mas amplio sentido de la palabra, puedes bucear, pescar, hacer trekking, andar en bicicleta, etc.¡¡¡Felicitaciones a la administración y su personal por tanto cariño para cuidar a los que queremos descansar y disfrutar en familia¡¡¡.",5
"Este año fue la segunda vez que veraneamos en el camping de Playa La Virgen y nuevamente nos arrepentimos de no haber reservado por más días. El camping tiene de todo para poder desconectarse y no tener que moverse de ahí. Cada sitio cuenta con su baño privado, mesa, techo, luz, cargador USB, parrilla y fogón. Puedes comprar leña, carbón y hielo en recepción y guardar cosas en los congeladores que tienen disponibles (sin gratis, alguna gente acapara espacio, quizás falta uno más)Llevar unos power bank o batería externa no es mala idea considerando que sólo hay enchufe USB (es el desierto. Hay que cuidar el agua y la electricidad). No hay señal de celular y para nosotros eso es lo mejor! Pero es un punto a considerar.La amabilidad del staff, la preocupación constante porque uno esté cómodo, y todo el ambiente del camping hacen que sea inolvidable. Se puede salir a caminar por el desierto y ver unos atardeceres increíbles y en la noche prender el fogón y tomarse algo viendo ese cielo completamente estrellado. Corre viento a veces entre la tarde-noche. Yo soy media friolenta así que igual llevo parka y bototos. También es buena idea llevar repelente. Hay muy buena onda en el camping. Es súper familiar pero no quita que uno disfrute de su música y tomarse algo en la noche. Hay mucho respeto de los espacios y nadie hace tremendos carretes, o al menos nosotros no hemos tenido ese tema. Es un lugar que para nosotros significa descanso seguro.El año 2021 la playa estaba menos llena que este verano pero se entiende ya que estamos en etapas distintas de plan paso a paso y todo eso. Este año nosotros bajábamos temprano y cero drama, siempre teníamos un lugar donde ponernos cómodamente. Agradecemos infinitamente el cariño de todo el staff de recepción, de Administración y de todos en el camping! Son lo máximo y nos vemos el 2023!",5
"La playa de zapallar es única, una de las más lindas de chile. Depende el día puedes nadar por la playa hasta la balsa, ver toninas o almorzar en el chiringuito.Está prohibidos los coolers y los animales!! Para que tengan ojo con eso. Se paga el estacionamiento, es mejor estacionarse en otro lado y caminar",4
"es mi refugio, mi casa desde mi niñez.... adorooooooo este lugarrrr,, que rico caminar en caminitos de piedra,,, lo amo",5
No hay tanta gente como en otras playas. Muy limpia de arena dorada y excelente vista.Hay estacionamientos dipsonible los que se deben pagar.,5
Linda vista y lugar tranquilo. Un excelente balneario para pasar el fin de semana y disfrutar con la familia,5
"Zapallar tiene una playa muy linda con senderos tranquilos. Hay posibilidad de nadar sin problemas, incluso tiene una plataforma dentro del agua. Tuvimos la suerte de ver una tonina cerca de la costa y también es posible ver pingüinos cerca. Existe un sendero que conecta Zapallar con Cachagüa y es un excelente paseo dentro de la zona. ",5
"Puedes disfrutar su playa con tranquilidad; arriendas ahí mismo quitasol y si tienes niños ellos pueden disfrutar también del mar en tu compañía. Si el día está más frío, tienes la oportunidad de hacer lindas caminatas por las veredas que salen desde la misma playa y van bordeando el mar.",4
"Excelente playa, ideal para nadar y pasar el día.Cuenta con baños, estacionamientos y restauran.Recomendada",5
"Preocupación por el cliente, muy buena atención. Estacionamiento disponible y personal muy amable. Buena Elección de carta.",4
"La playa me encanto, súper limpia, tranquila y agradable el ambiente. Tiene los servicios de baño, arriendo de toldo, estacionamiento.",5
"Es una playa pequeña muy acogedora, limpia las personas que circunda tu alrededor son respetuosas de tu espacio ",5
"Bahía Inglesa es un lindo lugar, puedes quedarte a alojar ahí y luego recorrer todas las playas que existen alrededor. La Virgen, Bahía Cisne, Rodillo por ejemplo. . Vale la pena ir a la mina San José y a unos minutos, visitar el mar de dunas. Excelente clima, buenos caminos. No olvide llevarse la basura, eso es algo que caracteriza a estos paisajes, la gente no los cuida.",5
"Muy rica playa, harto comercio, aunque harta gente para el espacio que hay, costanera bonita, harto donde comer. En la tarde corre bastante viento.",4
"Hace algunos años hice una gran publicación sobre este lugar, sin embargo en esta ocasión solo debo destacar su paseo hasta la playa las machas y los juegos al final de este. De la playa en si es lamentable que no haya un plan de limpieza de la arena, sobre todo el alga que sale expulsada, se entiende que en el mar no es mucho lo que se puede hacer, pero para ser un lugar tan turístico me parece que deben haber mayores esfuerzos por mantener la arena limpia y no solo de esta, si no que también de playa loreto, que en mi opinión personal es mejor playa para bañarse,  ya sea por su dimensión, temperatura del agua y olas. Además, una de las calles principales se encuentra en proceso de construcción de veredas, es necesario, pero esta es una mala fecha para efectuar trabajos.",3
Sobrevalórada ( culpa de las estupidas fotografías de instagram) es una playa solo para ir por el día.,2
"El lugar es agradable con una bonita vista de playas que no convencen, a pesar de las imágenes y fotografías que se revisan de manera previa. Las calles se encuentran prácticamente bloqueadas haciendo muy difícil trasladarse por sus principales avenidas al estar con mesas de los restaurantes que se encuentran en la zona. Del mismo modo no se encuentran lugares aptos para estacionar e incluso los que podrían ser ocupados para ello se encuentran con prohibición de hacerlo y guardias municipales atentos a sacar una infracción.La verdad es que el lugar se recomienda fuera de temporada alta donde podrá encontrar un lugar agradable para descansar, sin embargo en temporada alta lo más probable es que traiga más dolores de cabeza y momentos desagradables.",3
"la playa es helada y el agua no es turquesa como en las fotos, es un lugar agradable pero no es lo que publicitan para nada, falta infraestructura, la gente en general es amable, los precios están sobre lo normal, esperaría mejores precios para la calidad ... es precio de turista alto... se vacaciona más econimico y es más bonito viña del mal o Valparaíso si vives en santiago.",2
Es una lástima la pobre infraestructuraDe la zona.Se promocionan playas las cuales no están señalizadas correctamente y rodeadas de horribles caseríos tipo campamentos que dan  un ambiente patético a la zona.Estamos en la costa chilena y hay lugares donde hay apenas 1 o 2 variedades de pescado para degustar.Zona famosa por sus Ostiones....pero NO abundan para el turista.Restaurantes muy caros ..pero lo.peor que no se conducen con la calidad.Lo mismo conos alojamientos.NO RECOMIENDO IR A ESA REGION DE CHILE.,1
"Una playa muy bonita y un ambiente grato, es muy tranquilo y nunca te molesta nadie; ideal para relajarse.",5
"Bahía Inglesa, es un balneario  pequeño y muy bonito, con aguas cálidas y transparentes de color turquesa, con formaciones rocosas  y arena blanca. Es un lugar agradable para disfrutar en el verano.Hay algunos  restaurantes  donde comer; aunque los precios  no son económicos; de igual forma, vale la pena conocerlo.",4
"Bahia Ingles es un pueblo pequeño pero lindo, la playa no es tan azul como se muestra en las fotos, tiene un pequeño morro con restaurantes con diferentes opciones donde se puede pasar un buen rato aunque el servicio en par de ellos no fue tan bueno, en uno se tardaron y en el otro tomaron mal el pedido, pero en general la playa es linda, el pueblo lindo y la comida buena",3
I spent half a day at this beach a year ago on New Years day.  Arrived at 9 am and by noon the beach was crowded.  Despite my dread of swimming in cold waters I did it anyway!  It's a beautiful place backed by pine forest and protected on one by a yacht club and the other by large white island-like rock outcropping.   I'd post a picture here but that isn't available.  If it's beach you're looking for don't miss this one!,5
"I stayed in the complex that is there and it was the best experience ever. The Bay is so beautiful, with amazing views and sunsets, cozy beach.",5
"Ive had being in many places around the World enjoying of many beaches around the World, tropicals And caribeans but Here at Algarrobo El Canelo And Canelillo Ive found the most beautiful beach around the World in inspite of the Pacific océano is cooler than others oceans the great temperature of the water became to put stable And settle down your skin your health, your blood And your breath.",5
"Calm water perfect for kid, if you go in low season you will be alone in this half moon of beach, without much noise because to reach there you have to pass a little forest. Specially for a family trip!",5
You can enjoy a day walking beneath the big threes from the wood up of the beach to then go to it and relax in the sand and water.,4
"The place is very beautiful, the beach is small but the water have a beautiful color. The smell of the forest is very nice and gives you that feeling of being in the nature. You can take beautiful photos there. You can see also an amazing view of the sunset on the top of the hill where there is the forest.",5
"If you are nearby Algarrobo in the summer this is a great little beach to spend a full day.   Parking may be a problem; there are several parking areas that charge per hour (not too bad) but you could also park to the North East behind the woods and walk down to the beach via a small trail through the woods (see enclosed picture).Expect the beach to be crowded.The small bay protects the beach from big waves and the woods behing provide an area where you could rest from the sun if you want. There are several small places where you can buy empanadas, drinks, ice cream, etc. at reasonable prices.Good for small children.From there you can hike to the Islote Pajaros Niños and/or Islote Peña blanca",4
To many people for confort...good for hiking but to many people...parking is almost impossible and to get here u must have a car...Big hike down the beach...,3
"Exceptional natural beauty formerly, woods extensively cut down to build beach developments. Still remains a charming cove.",5
"Such a lovely beach and worth visiting it. Although I mainly visited El Canelo beach, there are both close to eachother but separated by the Forest (this forest is a municipal park). There are little stores (kioskos) where you can buy food and the tradicional egg bread (pan de huevo) because now the recipe has changed and before, you used to find people selling it at the beach along with the 'Palmeras' (a sweet 'candy', if you can call it like that) but now it's hard to find it but in these two beaches you can so that's amazing! The price of the parking for the cars was $600 pesos chilenos every 30 minutes so it is expensive if you want to spend the whole day at the beach. You can do canopy here (among other activities) and you can explore the forest and obviously take pictures there because it is amazing. One tip: The entrance to these beaches is not difficult but it can be hard for an elderly person so you have to be careful with them so they don't fall because of the irregular path.",5
"Cavancha beach is the second one in the center of Iquique. It is highly recommended for young children and teenagers, and for adult and older people as well. The beach has different option to rent, such as umbrellas, beach and lounge chair, and so on.  You also can buy a soda or a snack. Watch out with the sellers, because there are a lot of them. The only thing that I bought them is sods, because I wasn’t sure about the quality of cooked food. The best hours to get there is between 10 to 14 and 18 to 20h. Enjoy!",4
"Cavancha is really nice year round as the weather is never too cold. Usually there are plenty of vendors along the sidewalk before the beach selling water, snacks, etc. they're a little over priced, but not ridiculous (if you can get your stuff at the super market beforehand).  I've never had trouble with thieves or anything, although in the summer months (December-February) the beach is ridiculously crowded after lunch and it's probably best to keep your things on you at all times. There are a few surf class tents set up along the north end of the beach and towards the casino there's a little walk up restaurant the Piñita that has juice, completos, desserts for cheap and they accept cash and card. In the summer there are also umbrella and chair rentals, but that's not typical during other months. ",4
"We went with my boyfriend with the bicicles fromThe hotel and had a great afternoon. It’s a bit Indy in October, but a calm beach where to take a bath and lots of sun! You can buy anything to es while being there, we had a Mango Icecream and a mango mojito!",4
"Needs more cleaning and people more educated and politeNice beach , fresh water.... in the city easy to get to",3
Sunset in Iquique is very beautiful and romantic especially with the lovely sound of Pacific Ocean. The beach is always busy and the surfers starts very early in the morning,5
"This is the place to be on a hot day but get there before lunch in order to get a spot on the beach because it gets busy. There is no need to go anywhere for lunch as there are many people selling all kinds of different foods along the beach. You don't even have to look for them, you'll here them yelling out what they have as they walk along the beach. However, there is an amazing place around the corner where they sell the best empanadas ever called Rincon. They rent umbrellas and chairs for 2000-3000 pesos. All the locals bring there own, for good reason, it gets hot.",4
