,review
0,"I was there on 1/2021 Cabo de la Vela, Guajira. The activities offered are: unforgettable views, delicious food and a visit to the desert and its beautiful beaches, with impressive sunsets.The service was very good, the people are friendly and you can share with many of the great people and their culture.What I liked the most was the starry night when I slept outside.I would go back because you can breathe and feel peace. a good place to reconnect with yourself."
1,The best place for kite surfing (I reccomend Tawi center) and more. A combination of desert and turquoise Caribbean sea.
2,"In 2020 I traveled to La Guajira, the experience was amazing. I stayed at Cabo de la vela, It was very enriching. It isn’t as the luxury destinities when we imagine beach, there aren’t hotels or luxury restaurants. We stayed in a hut with native people and It was very shocking to see the poverty of the zone, there is a shortage of water, food, clothes. But I was more shocked to see how friendly and nice were the people there, specially the children. I didn't have amenities but I could see the most beautiful sunset I have seen in my life and I could share with fascinating people. The food was very delicios, almost all I ate there was marine food and was yummy but very pricey because they live from tourism and prices are expensive. I still keeping a bracelet I bought to a around 4 years girl, It's heavy seeing a little girl selling handicrafts."
3,"The Cabo de la vela is located in La Guajira, Colombia. I was there 1 year ago I love this place because it is a beautiful destination, a  secluded place of the city weight with amazing landscapes, a place where the beach and the desert come together.  There, you can eat the typical gastronomy of La Guajira, sleep in the beach or in ""chinchorros"", do a tour for the territory, know the wayuu culture and if you have time, you must go to Punta Gallinas to have a complete experience of La Guajira. Our Guide was wonderful, he shows and told us all the places and mistakes of the Cabo, such as the souls in the Pilon de azucar or how  the rainbows are formed in playa arcoiris.  La Guajira is a Magical place, it had many adventures to you "
4,We stayed at the Hilton Beach and Golf Resort but didn’t expect to find great Restaurants on the premise which pleasantly proved me wrong.  We dined at the Italian restaurant Cabo de la Vela and everything we ordered were delicious and the presentation were just as good!  The service was impeccable and friendly!  The Mexican restaurant here was also very good!  A lovely experience!
5,"a place where it seems to see the limits of the world, nature, peace, sunsets and dreaming that these infinite spaces remain unchanged for life"
6,"Made the trek from Riohacha - Cabo de Vela with the idea to continue on to Punto Gallina. To tell you the truth don't bother.  This is one of the hottest, most arid, devoid of anything places that I have ever visited. The village of Cabo de Vela is a series of shacks strung out along the beach.  Water is a huge problem here so you need to carry gallons of it with you.  Hotels are incredibly rustic + food not much better. Its  crazy sunny, crazy hot + and even crazier windy - all the time! It's a great place for kite surfers + watching them is a lot of fun ... but besides watching the kite surfers for an hour or so, the rest is a big, hot, windy snooze.  Basically you are in the midst of a big huge coastal desert with an expanse of desert stretching to Venezuela on one side and the Caribbean on the other. The fact that you are at the most northern point of South America is kind of cool ... but the rest is one big hot, humid, arid, sunny, windy mess of a place. Only for kite surfers + the truly adventurous traveller!"
7,"Excellent place if you want an adventure far from technology, lovely landscapes. This was possible thanks to Magic Tours"
8,"We went here for 2 nights. The place is great for kite surfing and it's quite a special place to visit. It is a shame that it is very polluted (plastic everywhere). Accommodation is basic but there are some good places, washing is with bucket of water and electricity is generally from 6 until about 9pm although apparently there are places with electricity until later.The first night we stayed in accommodation without electricity (although the owners kept telling us there would be electricity any moment) and on plastic matrasses. On the second night we found a nicer accommodation in Cabanas. As a gringo, be prepared to be seen as a walking wallet by many of the locals. Unfortunately many of them seem to lie and just tell you what they think you want to hear in order to get you to buy. We ""booked"" a tour to Puntas Gallinas but the car never showed up. After a couple of hours waiting we managed to get our money back but weren't able to go anymore because it was too late, the tours leave around 5-6am.For food ask for the price before ordering or order from a menu. Also lock up your stuff when you're away,get a room with a lock if you've got valuables. We heard about multiple robberies from other people we met while in town. You can buy nice souvenirs (ie the wayuu bags) here for way less money than in the bigger towns and support the community this way. Would still recommend to visit just be prepared and check online for how much things should cost."
9,"We have had a very good 3 day trip to La Guajira with Kai Ecotravel. The communication with the office (for booking and preparation of the trip) was excellent, and we were lucky to have Victor as our guide. His english is excellent, as well as his knowledge of the area. Moreover, he is making sure that you are having a good experience, while keeping you safe at the same time. We spent one night in a chinchorro, and one night in a double room. I must admit that the room was more comfortable, but it was also a good experience to sleep in the chinchorro. At each meal, one drink was included, which is also nice. I wish we had chosen the 4day trip, as we would have loved to spend more time in this fascinating part of Colombia! "
